"Company.Name","YEAR","ROE","ROC","NPM","DIV","DEP","Beta","P.E","P.B","EVEBITDA","PSALES"
"A N G Industries Ltd.",1991,46,24.52,20.09,10.34,15.3,0.28,15.36,5.94,24.42,2.99010223867442
"A N G Industries Ltd.",1991,23.23,9.76,11.77,0,35.5,0.59,7.28,1.39,6.51,0.872007546642443
"A N G Industries Ltd.",1991,-1.15,-0.4,-0.79,24.43,42.8,0.75,13.11,0.38,7.05,0.278629591129591
"A N G Industries Ltd.",1991,-11.94,-4.48,-8.92,24.81,51.6,1,5.18,0.54,5.79,0.461828260052612
"A N G Industries Ltd.",1991,1.7,0.69,0.97,0,62,0.96,26.66,0.43,6.1,0.259078329149771
"A N G Industries Ltd.",1991,2.74,1.11,1.46,0,62.4,0.96,8.71,0.27,5.61,0.152351980170131
"A N G Industries Ltd.",1991,-13.6,-5.4,-8.77,34.86,64.9,0.98,32.09,0.11,4.1,0.0749531412703922
"A N G Industries Ltd.",1991,-4.06,-1.5,-2.14,30.12,68.9,1.05,49.25,0.11,6.12,0.0622888487190675
"A N G Industries Ltd.",1991,16.91,1.1,7.1,0,1406.6,1.09,26.12,0.69,8.04,0.0227912857193028
"A N G Industries Ltd.",1991,-40.13,3.3,-4.8,27.05,74.3,1.26,62.35,0.75,11.03,0.348213408644401
"Amara Raja Batteries Ltd.",1985,21.1,14.99,6.22,8.48,170,0.88,9.42,1.66,6.78,0.513813064259161
"Amara Raja Batteries Ltd.",1985,32.04,17.88,6.74,4.23,244.5,0.94,11.9,3.3,7.29,0.804271303482733
"Amara Raja Batteries Ltd.",1985,21,11.57,4.83,8.49,345.6,0.96,4.07,0.78,2.3,0.197333666833417
"Amara Raja Batteries Ltd.",1985,34.97,25.03,9.68,14.83,429.5,1.13,8.42,2.57,4.61,0.823075654698459
"Amara Raja Batteries Ltd.",1985,24.31,20.95,7.41,26.53,417.1,1.14,11.17,2.5,6.23,0.83068549361608
"Amara Raja Batteries Ltd.",1985,28.77,25.55,8.04,15.01,464.7,1.14,12.86,3.12,9.52,0.960435301934547
"Amara Raja Batteries Ltd.",1985,31.57,28.91,8.87,15.02,586.2,1.02,16.06,4.45,12.06,1.41180784390715
"Amara Raja Batteries Ltd.",1985,29.99,27.98,9.37,15.01,646.7,1.22,18.5,4.93,10.62,1.7509852345077
"Amara Raja Batteries Ltd.",1985,26.98,25.63,8.83,15.01,1347.5,0.69,34.38,8.36,18.83,3.06050280557495
"Amara Raja Batteries Ltd.",1985,25.78,24.81,9.39,32.82,1411,0.71,30.62,7.13,17.1,2.89592783992012
"Amtek Auto Ltd.",1988,15.6,7.91,19.61,16.81,633.4,0.47,23.7,3.05,16.64,4.21445084117505
"Amtek Auto Ltd.",1988,12.39,6.59,17.86,3.06,945.7,0.72,14.58,1.59,10.72,2.81227878693381
"Amtek Auto Ltd.",1988,6.01,2.81,12.56,4.63,1226,0.9,6.7,0.43,4.82,0.992692289419925
"Amtek Auto Ltd.",1988,4.07,2.1,9.3,14.72,1665.9,0.88,22.43,1.1,15.62,2.92838772794866
"Amtek Auto Ltd.",1988,6.61,3.81,13.7,28.5,1860.1,0.91,16.44,0.8,10.11,1.70662457270095
"Amtek Auto Ltd.",1988,6.76,3.67,11.91,3.75,2118.5,0.91,11.24,0.69,10.07,1.27610552829062
"Amtek Auto Ltd.",1988,5.58,2.57,8.2,2.3,2837.4,0.98,4.89,0.31,5.45,0.462317760599858
"Amtek Auto Ltd.",1988,6.41,2.6,7.97,3.42,3290.3,0.93,13.11,0.7,7.4,0.880985045612401
"Amtek Auto Ltd.",1988,-5.45,-2.04,-7.39,24.28,5251.4,1.25,18.18,0.6,7.71,0.853328014345257
"Amtek Auto Ltd.",1988,-11.52,-3.84,-36.31,44.55,5821.5,1.67,21.03,0.15,51.15,0.45861997095525
"Anand I-Power Ltd.",1962,-31.04,-12.66,-14.02,4.8,53,0.57,62.35,1.94,13.09,0.731479865353447
"Anand I-Power Ltd.",1962,-7.99,-2.74,-2.75,2.53,57.8,0.84,37.84,3.81,0,1.3247311827957
"Anand I-Power Ltd.",1962,5.04,1.88,1.77,18.62,49.4,0.85,24.31,0.37,5.63,0.156944955253157
"Anand I-Power Ltd.",1962,20.54,8.84,7.85,13.93,46.2,0.48,6.97,1.3,7.76,0.116090584028605
"Anand I-Power Ltd.",1962,16.69,8.02,5.34,56.61,43.8,0.53,3.21,1.64,10.76,0.99885118888592
"Anand I-Power Ltd.",1962,9.62,4.29,2.91,107.76,42.4,0.89,703.05,2.25,10.93,6.49060285166347
"Anand I-Power Ltd.",1962,-3.72,-1.37,-1.24,28.24,21,0.93,703.05,0.99,14.49,2.99763325377884
"Anand I-Power Ltd.",1962,-10.38,-3.67,-3.44,18.25,31.9,1.36,47.46,0.65,3.83,0.0388919667590028
"Anand I-Power Ltd.",1962,6.22,2.49,1.88,0,29.2,0.91,20.27,0.46,2.43,2.06412432266639
"Anand I-Power Ltd.",1962,3.19,1.46,0.97,0,31.9,1.02,6.08,3.81,13.33,1.01385935823661
"Andhra Pradesh Scooters Ltd.",1974,19.78,9.74,5.46,27.36,15.3,0.68,8.89,1.72,6.11,0.178638078221163
