Company.Name,YEAR,DIV,NPM,ROE,ROC,DEP,Beta
Allahabad Bank,1865,17.86,12.71,20.68,14.24,439.7,1.11
Allahabad Bank,1865,16.04,13.34,24.57,14.52,479.6,1.08
Allahabad Bank,1865,14.53,8.83,16.49,9.14,513.9,1.03
Allahabad Bank,1865,20.37,11.31,21.4,11.54,580.2,1.04
Allahabad Bank,1865,20.08,11.41,22.01,11.26,619.4,1.06
Allahabad Bank,1865,16.07,10.94,22.99,11.57,692.6,1.06
Allahabad Bank,1865,25.31,5.84,11.89,5.98,688.3,1.15
Allahabad Bank,1865,11.62,5.5,11.06,5.37,779.5,1.58
Allahabad Bank,1865,15,2.74,5.36,2.47,963,1.8
Allahabad Bank,1865,31.08,-7.79,-13.65,-5.73,1128.8,1.88
Andhra Bank,1923,38.79,12.34,15.66,10.95,557.3,1.02
Andhra Bank,1923,33.71,11.85,17.96,12.34,613.3,1.26
Andhra Bank,1923,33.42,10.59,18.91,10.91,817.6,1.16
Andhra Bank,1923,23.19,14.16,25.93,12.1,1020,1.05
Andhra Bank,1923,24.29,14.36,25.38,11.04,1074.4,1.05
Andhra Bank,1923,22.89,10.99,20.5,9.26,939,1.05
Andhra Bank,1923,21.7,9.23,16.86,7.44,836.3,1.07
Andhra Bank,1923,14.89,2.78,5.17,2.11,899.7,1.31
Andhra Bank,1923,18.89,3.04,6.06,2.34,1199.7,1.61
Andhra Bank,1923,6.31,1.15,2.25,0.99,1437.1,1.74
Axis Bank Ltd.,1993,22.58,11.71,20.3,6.56,1118.7,0.93
Axis Bank Ltd.,1993,23.5,11.87,17.11,6.96,1581.1,1.01
Axis Bank Ltd.,1993,23.16,12.23,17.6,7.67,1886.7,1.21
Axis Bank Ltd.,1993,22.57,15.17,17.83,7.94,2343.2,1.14
Axis Bank Ltd.,1993,19.78,15.77,17.52,7.82,2895.9,1.19
Axis Bank Ltd.,1993,18.15,14.43,18.71,7.66,3422.4,1.19
Axis Bank Ltd.,1993,19.06,14.61,17.55,7.33,3517.3,1.22
Axis Bank Ltd.,1993,17.71,15.61,16.64,7.17,3639.3,1.27
Axis Bank Ltd.,1993,17.79,16.24,17.15,6.68,4056.7,1.55
Axis Bank Ltd.,1993,0.03,14.93,15.32,5.24,4439.1,1.43
Bank Of Baroda,1908,24.6,9.65,12.19,7.33,1942.9,1.43
Bank Of Baroda,1908,23.75,10.29,14.5,8.68,2320,1.4
Bank Of Baroda,1908,17.22,12.45,18.6,9.66,2305,1.26
