"YEAR","ROE","ROC","NPM","DIV","DEP","Beta","P.E","P.B","EVEBITDA","PSALES"
1993,24.53,19.93,7.04,7.36,4.5,1.54,6.77,0.08,3.73,0.819473995271868
1993,4.38,3.06,3.49,27.78,7.1,1.27,7.78,1.9,15.24,17.7897206703911
1993,0.49,0.32,0.3,13.2257101865136,10,1.22,17.63,1.42,8.17,0.26723263277772
1993,0.41,0.22,0.22,13.2257101865136,12.5,1.14,49.61,0.65,9.22,0.136166081006103
1993,0.2,0.09,0.11,13.2257101865136,12.8,1.46,570.23,0.67,3.53,0.0424037935436805
1993,3.78,12.76,3.84,84.21,220.7,0.61,10.74,1.78,3.07,0.334162434794625
1993,6.66,4.55,0.05,13.2257101865136,12.3,0.61,8.6,2.93,2.37,0.747363272565585
1993,0.1,0.04,0.04,13.2257101865136,12.6,0.39,20.17,0.51,10.64,6.88109582542694
1993,16.56,3.86,9.44,12.27,4.3,0.35,2.73,3.14,14.89,0.0277011199452851
1979,14.6399713055954,7.14017216642755,3.87781922525108,13.2257101865136,3,1.09,10.16,1.05,11.06,160.9
1979,14.6399713055954,7.14017216642755,3.87781922525108,12.27,11.3,1.25,60.51,1.17,6.29,7349.8
1979,34.67,18.04,2.62,0.18,20.2,0.49,8.99,2.13,5.45,0.530854629241726
1979,20.28,10.47,3.37,34.59,20.9,0.91,2.89,0.62,5.87,0.0631945952467125
1979,16.49,7.79,3.62,36.88,21.7,0.63,7.84,0.07,7.31,0.0506256591511558
1979,7.22,2.91,1.57,13.2257101865136,36.8,1.47,62.73,0.56,28.55,0.0592918923288336
1979,4.42,1.71,0.82,13.2257101865136,37.2,1.32,60.51,0.8,5.41,0.0394899501956599
1979,4.93,2.07,0.89,13.2257101865136,37.4,1.2,27.55,1.04,46.78,0.102337640958104
1979,11.29,5.23,2.36,13.2257101865136,33.3,1.04,59.3,6.34,18.63,1.39958249099059
1979,3.34,1.78,0.75,13.2257101865136,34.5,1.19,128.57,4.24,18.77,0.959319422433527
2001,31.42,13.02,8.72,11.77,113.4,0.4,4.93,1.15,5.52,0.366381911880774
2001,26.91,8.14,6.83,13.61,232.5,1.19,15.88,4.04,11.79,1.08837191103073
2001,7.98,1.79,1.93,34.99,369.4,1.27,10.2,0.89,6.5,0.202233799711167
2001,11.5,3.08,3.86,28.64,582.3,1.25,27.63,2.41,9.32,1.0919374930896
2001,8.76,2.88,3.41,32.57,875.8,1.26,20.68,1.78,7.17,0.726876033902419
1989,7.47,10.16,3.81,13.2257101865136,10997.4,1.35,4.93,1.01,5.67,0.286839038519833
1989,14.52,100.11,3.86,13.2257101865136,2.4,0.76,10.74,0.2,6.08,5.21435388432907
1989,21.15,2.01,0.74,10.99,15.6,0.9,20.17,0.09,11.67,2.05554578570531
1992,7.04,4.4,2.42,13.2257101865136,1.9,1.03,20.13,1.65,10.4375753228121,0.0489834554284303
1992,22.09,0.3,1.8,13.2257101865136,43.3,1.61,9.74,0.56,23.69,0.135653812617782
1992,12.09,3.17,1.66,12.27,2.6,0.91,18.65,1.84,11.67,0.221426318445622
1992,13.33,2.57,0.23,13.2257101865136,633.3,1.58,9.03,1.72,3.73,0.532386539936159
1992,8.47,3.29,4.84,13.2257101865136,3561.4,1.17,60.51,0.72,4.15,0.211462342208622
1968,3.44,1,0.56,13.2257101865136,32.8,1.19,20.13,0.58,5.87,0.11336824424464
1968,0.85,0.29,0.16,13.2257101865136,33.6,1.19,43.02,0.29,4.17,0.0692613636363636
1968,8.13,3.63,1.87,13.2257101865136,31.3,1.37,6.88,0.53,3.51,0.129087402472166
1968,8.7,4.44,2.03,13.2257101865136,31.7,1.33,3.94,0.36,3.55,0.080374510088547
1968,7.11,3.41,1.97,13.2257101865136,32.1,1.33,5.44,0.35,3.97,0.108925018865336
1968,0.71,0.3,0.21,13.2257101865136,36.1,1.32,3.99,0.23,6.31,0.0692499688006989
1976,9.81,1.12,1.16,24.8,40.6,1.22,20.26,0.59,10.81,0.0215607516855544
1976,13.82,4.58,0.64,13.2257101865136,17.4,0.73,15.88,1.83,6.4,1.75535447597294
1976,6.17,5.54,3.97,13.2257101865136,12358.8,1.28,10.74,9.47,10.4375753228121,0.789895563255713
1976,13.16,8.43,0.56,109.16,2.2,1.19,10.74,0.45,4.86,0.0287485552169801
1992,25.33,7.05,0.96,13.2257101865136,8.1,1.32,3.18,0.75,6.78,0.0329000764570958
1992,21.93,6.68,0.95,13.2257101865136,9.9,1.22,2.71,0.51,3.13,0.0257306064160759
1992,19.4,5.59,0.88,13.2257101865136,11.6,0.91,1.49,0.26,4.19,0.0131419552977308
1992,16.59,4.93,1.01,13.2257101865136,12.4,0.84,2.6,0.39,3.83,0.0261893389377149
1992,17.66,5.78,0.92,13.2257101865136,13.4,0.83,2.38,0.38,4.36,0.0219396868761164
